scenario,budget,paddock,elevation,te_count,native_cover_pct,alternative,alternative_name,roadside_built,fixed,cost,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,fire_risk_reduction
Balanced,5000000,1,Makai,0.0,0.568207,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.005897262373399999
Balanced,5000000,2,Makai,3.0,0.14173,1,1: fence + fuelbreaks,True,False,585346.403436,0.36824261449818796,0.36824261449818796,0.625,0.7222222222222222,0.3333333333333333,0.0266370042843
Balanced,5000000,3,Makai,9.0,1.542957,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.005498536554124998
Balanced,5000000,4,Makai,8.0,0.902437,11,11: no change,True,False,0.0,0.0792989098401836,0.0792989098401836,0.5,0.6666666666666666,0.0,0.0036813898105199985
Balanced,5000000,5,Makai,58.0,1.647397,11,11: no change,True,False,0.0,0.03547728015023172,0.03547728015023172,0.5,0.6666666666666666,0.0,0.004483392684224999
Balanced,5000000,6,Makai,6.0,0.397277,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.00692186954784
Balanced,5000000,7,Makai,28.0,0.376842,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.007430714761679998
Balanced,5000000,8,Makai,216.0,0.151658,11,11: no change,True,False,0.0,0.0,0.0,0.5,0.6666666666666666,0.0,0.0058308395634999975
Balanced,5000000,9,Makai,580.0,1.849683,7,7: full restoration,True,True,3896204.243028,1.0,1.0,-4.0,-4.0,9.0,0.01360741758358
Balanced,5000000,10,Makai,2.0,0.359382,11,11: no change,True,False,0.0,0.11824067243097242,0.11824067243097242,0.5,0.6666666666666666,0.0,0.0029373513970799986
Balanced,5000000,11,Middle,4.0,0.023327,11,11: no change,True,False,0.0,0.19218149272972923,0.19218149272972923,0.5,0.6666666666666666,0.0,0.0016922086307549992
Balanced,5000000,12,Middle,5.0,1.376907,11,11: no change,True,False,0.0,0.1167773454001842,0.1167773454001842,0.5,0.6666666666666666,0.0,0.003011711649979999
Balanced,5000000,13,Middle,1.0,0.053414,11,11: no change,True,False,0.0,0.049103319662106765,0.049103319662106765,0.5,0.6666666666666666,0.0,0.00425753079808
Balanced,5000000,14,Middle,2.0,1.979633,11,11: no change,True,False,0.0,0.08554225049075949,0.08554225049075949,0.5,0.6666666666666666,0.0,0.00361407694812
Balanced,5000000,15,Middle,0.0,2.936385,11,11: no change,True,False,0.0,0.0,0.10569211296489418,0.5,0.6666666666666666,0.0,0.0032335528229399998
Balanced,5000000,16,Mauka,2.0,0.228544,11,11: no change,True,False,0.0,0.2000892519687673,0.2000892519687673,0.5,0.6666666666666666,0.0,0.001627318648204
Balanced,5000000,17,Mauka,13.0,0.808116,11,11: no change,True,False,0.0,0.1326572902679764,0.1326572902679764,0.5,0.6666666666666666,0.0,0.0028944627779399993
Balanced,5000000,18,Mauka,21.0,4.076177,11,11: no change,True,False,0.0,0.09582825796713683,0.09582825796713683,0.5,0.6666666666666666,0.0,0.003543164959624999
