scenario,budget,budget_label,roadside_built,total_cost,objective_value,te_score,habitat_score,rancher_score,hunter_score,recreationist_score,mean_fire_risk_reduction,overall_score
Balanced,5000000,$5M,True,4970423.34737,5.2269853676460984,2.888902456587528,2.9945945695524223,11.0,14.22222222222222,0.5555555555555556,0.005929336037589727,31.661274803917728
Balanced,10000000,$10M,True,9946936.16269297,7.0499383763165735,4.504114029484036,4.60980614244893,13.291666666666666,15.222222222222225,3.333333333333334,0.009076089239287,40.961142394155196
Balanced,20000000,$20M,False,19946504.378437966,9.810797982791279,8.616586204208113,9.03160572695701,13.583333333333332,14.611111111111112,7.333333333333334,0.010868531209147611,53.1759697089429
Balanced,40000000,$40M,False,39902636.3582136,12.419956273980869,15.19930371740361,16.477465822964305,8.208333333333332,9.277777777777779,12.444444444444443,0.011924045002249544,61.607325095923464
Balanced,60000000,$60M,False,59880328.29678419,13.870260424481602,19.27524307118542,21.27524307118542,4.416666666666666,5.666666666666666,15.111111111111109,0.012865742689710457,65.74493058681529
Conservation priority,5000000,$5M,True,4959691.812724,3.4176755403034753,3.2375817022302305,3.3432738151951247,10.0,13.33333333333333,0.6666666666666666,0.005137535708540635,30.580855517425352
Conservation priority,10000000,$10M,True,9976335.962165,5.815251872261811,6.209829894955927,6.315522007920821,8.666666666666666,12.333333333333332,3.222222222222222,0.00861872613600109,36.74757412509897
Conservation priority,20000000,$20M,False,19991605.561476,9.475140395630348,11.054215812706177,11.090024065258582,5.166666666666666,9.555555555555559,6.555555555555556,0.009957595016617611,43.422017655742536
Conservation priority,40000000,$40M,False,39884507.122633606,14.541873338646683,16.317480562197247,18.317480562197247,3.833333333333333,5.888888888888888,12.444444444444441,0.01191449207778693,56.80162779106116
Conservation priority,60000000,$60M,False,59083328.65396619,17.240513606552515,19.566058674857317,21.566058674857317,3.833333333333333,5.111111111111111,14.666666666666663,0.012628159969194546,64.74322846082573
T&E emphasis,5000000,$5M,True,4959691.812724,3.3965371177104964,3.2375817022302305,3.3432738151951247,10.0,13.33333333333333,0.6666666666666666,0.005137535708540635,30.580855517425352
T&E emphasis,10000000,$10M,True,9976335.962165,5.794113449668832,6.209829894955927,6.315522007920821,8.666666666666666,12.333333333333332,3.222222222222222,0.00861872613600109,36.74757412509897
T&E emphasis,20000000,$20M,False,19991605.561476,9.467978745119867,11.054215812706177,11.090024065258582,5.166666666666666,9.555555555555559,6.555555555555556,0.009957595016617611,43.422017655742536
