Alt,Management actions,Direct cons.,Fire reduction,Rancher,Hunter,Recreat.,Mean cost
1,Fence/fuelbreaks,1,50%,3,1,1,$692K
2,Roadside fuelbreak,1,20%,1,1,3,$0*
3,Fence/intensify grazing,-1,50%,4,1,3,$942K
4,Fence/fuelbreak/remove cattle,2,50%,-4,-2,1,$692K
5,Fence/fuelbreak/remove cattle + ungulates,3,50%,-4,-4,1,$1179K
6,Alt 5 + weed control around T&E,3,50%,-4,-4,1,$1188K
7,Full restoration,6,Reclassify,-4,-4,3,$2887K
8,Fence/fuelbreak/weed control,1,50%,1,1,1,$700K
9,Fence/fuelbreak/remove cattle/weed,2,50%,-4,-3,1,$700K
10,Fence/plant native species,1,None,2,2,2,$815K
11,No change,1,None,0,0,0,$0
